message;severity;node;stamp;topics;location
"0.048";"2";"/snake_control";"1546088265.043774805";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.050";"2";"/snake_control";"1546088265.023832859";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.053";"2";"/snake_control";"1546088265.003766680";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.056";"2";"/snake_control";"1546088264.983944129";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.059";"2";"/snake_control";"1546088264.964994717";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.062";"2";"/snake_control";"1546088264.945086268";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.065";"2";"/snake_control";"1546088264.925026841";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.068";"2";"/snake_control";"1546088264.904083781";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.072";"2";"/snake_control";"1546088264.883876104";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.076";"2";"/snake_control";"1546088264.864925469";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.080";"2";"/snake_control";"1546088264.843938590";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.085";"2";"/snake_control";"1546088264.823927898";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
